Term,Department,Course,Workload,Rating,Enrollment,Recommendation,Elective,Concentration,Secondary/Citation,Core/GENED,EXPOS,Language,Pre-med
Spring 2019,African & African Amer Studies,AFRAMER 10: Introduction to African American Studies,3.5,4.5,179,4.6,57,16,18,31,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 100Y: Introduction to Black Poetry,2.6,4.2,49,4.5,69,23,9,9,0,0,3
Spring 2019,African & African Amer Studies,"AFRAMER 119X: Chocolate, Culture, and the Politics of Food",2.9,4.5,102,4.7,75,5,6,14,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 123Z: American Democracy,3.6,4.4,49,4.4,86,8,8,3,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 125X: Urban Inequality after Civil Rights,5.2,4.5,40,4.7,76,42,12,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 130X: Richard Wright: Literature, Philosophy, and Politics",7.2,4.4,23,4.4,74,21,16,16,0,0,5
Spring 2019,African & African Amer Studies,AFRAMER 131Y: 19th century Black Women Slave Narratives and the 21st century #MeToo Movement:,3.5,4.9,20,4.9,94,24,24,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 142: Hiphop and Don't Stop. I Am Hiphop: Build, Respect, Represent",3.3,4.0,11,4.2,90,0,10,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 187X: The Creole Spirits,13.4,4.7,7,4.5,50,17,33,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 192Y: The Paradox of the Garden: Good and Evil in Paradise,4.2,4.5,13,4.4,88,12,12,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 197X: Intersectional and International Social Movements, 1920-2020",4.3,2.7,6,3.3,67,0,0,33,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 197Y: The African Diaspora: Time, Space, and Belonging",5.0,4.8,8,4.8,60,0,40,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 199X/HIST 1937: Social Revolutions in Latin America,7.2,4.8,19,4.9,55,36,9,18,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 199Y: Martin Luther King, Jr. and the Question of Conscientious Citizenship",4.2,4.7,40,4.7,63,23,23,13,0,0,0
